342-342-621= -621
274-741*895= -662921
364(785*937= ERROR
515*177(509= ERROR
936)905+12= ERROR
758*294+656= 223508
189(224+211= ERROR
326-879+224= -329
481(63(773= ERROR
257*15(179= ERROR
297+479*459= 220158
725-120)336= ERROR
820*997-114= 817426
15-94*685= -64375
916-107(211= ERROR
53-67(639= ERROR
945+772)862= ERROR
948+56)96= ERROR
949)894*385= ERROR
876*938-957= 820731
627*214+969= 135147
889(247+745= ERROR
842+368+582= 1792
773-206-244= 323
897)130(639= ERROR
96(48-666= ERROR
50)930-305= ERROR
595(601(958= ERROR
245*581+292= 142637
44)490*145= ERROR
679)526-280= ERROR
324-343+764= 745
118*677+137= 80023
518+361*218= 79216
856+576)204= ERROR
751*242*40= 7269680
240)623)736= ERROR
137(149+144= ERROR
37-18+644= 663
876-294)260= ERROR
302*477-195= 143859
440(203(76= ERROR
130*395-167= 51183
363)355)495= ERROR
754(226)279= ERROR
146(948+34= ERROR
174)870+915= ERROR
739(55)89= ERROR
492+159*904= 144228
766+94(722= ERROR
60+669*835= 558675
20(832)729= ERROR
409*370+30= 151360
157(850)173= ERROR
457(812*771= ERROR
866(173*282= ERROR
882)659+628= ERROR
767)113-928= ERROR
229(780(88= ERROR
556-953(56= ERROR
862*842-27= 725777
778+578-681= 675
329-269(203= ERROR
588-288*93= -26196
793*526(716= ERROR
399)649-171= ERROR
16)191-875= ERROR
524)145)23= ERROR
909)947(397= ERROR
461*421+981= 195062
538(954+659= ERROR
746(615-213= ERROR
764+879)776= ERROR
212(734*627= ERROR
749*689)409= ERROR
907)79+264= ERROR
611+485(843= ERROR
128+823*435= 358133
155+532*263= 140071
436-650-565= -779
364*716(783= ERROR
770+809-87= 1492
995(678-763= ERROR
625*757+902= 474027
443+494)553= ERROR
360(972*821= ERROR
657(389-930= ERROR
860)654+274= ERROR
564(552*430= ERROR
945*991-631= 935864
752(965)285= ERROR
836)467-59= ERROR
286(873+396= ERROR
80+131+840= 1051
305+852*494= 421193
833(10+779= ERROR
961+276)78= ERROR
615+169+847= 1631
369-66+947= 1250
964-63*642= -39482
491)390+440= ERROR
885*157+995= 139940
775)166-763= ERROR
742*733)825= ERROR
389-663)691= ERROR
927*736*351= 239477472
97(695-849= ERROR
939+624-903= 660
711+659-350= 1020
565-686(410= ERROR
925+164(225= ERROR
170)741+518= ERROR
562-415*533= -220633
377-102*397= -40117
435+255-998= -308
611*46)894= ERROR
662-505(961= ERROR
933)6)895= ERROR
251+471*143= 67604
74+916)565= ERROR
38+997*893= 890359
47(820*445= ERROR
532)415(933= ERROR
729+151+448= 1328
853(208)241= ERROR
556*1)891= ERROR
350)962+238= ERROR
575)783-668= ERROR
496)799-146= ERROR
438(674(967= ERROR
122-767*897= -687877
454+154+125= 733
22-232)884= ERROR
329*383+634= 126641
596(320-744= ERROR
57(486-796= ERROR
982+966*707= 683944
629+400-641= 388
11)222*189= ERROR
675(115*819= ERROR
703)601*896= ERROR
266(814(997= ERROR
723(609-633= ERROR
327(76(665= ERROR
907-650(209= ERROR
283-859-130= -706
241(785*555= ERROR
763(751)471= ERROR
504(67+644= ERROR
350*175)780= ERROR
287)697-858= ERROR
637)877*614= ERROR
546*840)951= ERROR
186-940(456= ERROR
199(598*115= ERROR
810+361(514= ERROR
637(643(110= ERROR
657*842-207= 552987
343)102*153= ERROR
880(684(38= ERROR
900(361(727= ERROR
219(39*732= ERROR
153-309-191= -347
246(957*172= ERROR
277)7+386= ERROR
878(119+592= ERROR
856*361*205= 63348280
448)665-460= ERROR
268+206(823= ERROR
694)89*142= ERROR
666-791+79= -46
491)872*269= ERROR
659+556*814= 453243
397+79(545= ERROR
289)246)625= ERROR
729+509*265= 135614
721(113-449= ERROR
647*360+815= 233735
2)590(964= ERROR
950)756-450= ERROR
98-404*769= -310578
442(516-990= ERROR
910)14(872= ERROR
853+947(73= ERROR
846-411(862= ERROR
385+981(327= ERROR
478+690*274= 189538
156*823(721= ERROR
676(741+673= ERROR
509*540)381= ERROR
964)93+199= ERROR
281-761*761= -578840
4-52-254= -302
935)975+44= ERROR
38)292+321= ERROR
971-584)571= ERROR
624+504(443= ERROR
994+273+960= 2227
357)401)962= ERROR
463+423+304= 1190
935*778(805= ERROR
593*286+714= 170312
911(579)732= ERROR
779+197+898= 1874
5-740-277= -1012
170-221-196= -247
396*697-688= 275324
99*971(709= ERROR
495(230*34= ERROR
474)467*642= ERROR
104(425*479= ERROR
846*943-498= 797280
209(451*686= ERROR
792)484(292= ERROR
915)599)23= ERROR
690)93)174= ERROR
493+315+31= 839
479-478)446= ERROR
375*247-885= 91740
303)766+455= ERROR
481*613*364= 107326492
536*712-591= 381041
38-458(438= ERROR
525+698+199= 1422
926)307+809= ERROR
426*514-322= 218642
927-706(573= ERROR
616-268(249= ERROR
901)899(746= ERROR
450-363*997= -361461
399-905-246= -752
480+53)61= ERROR
753*13)528= ERROR
941*757)720= ERROR
949(594)214= ERROR
250-460*3= -1130
270(797-17= ERROR
416(721-259= ERROR
885*955+606= 845781
229*568-602= 129470
601-877-396= -672
876)697)380= ERROR
56-955+873= -26
284*620-393= 175687
543+192(794= ERROR
878*959-406= 841596
211)209+676= ERROR
946)460*575= ERROR
114(858*802= ERROR
332*732+643= 243667
46*38-48= 1700
729*458*612= 204335784
295(946+936= ERROR
969*768)249= ERROR
758(86)163= ERROR
192)507(905= ERROR
275)103(206= ERROR
675+778+137= 1590
618+862(138= ERROR
833-187+413= 1059
73(288+48= ERROR
953*190*393= 71160510
384*398(419= ERROR
433-349)813= ERROR
614-396-218= 0
698-673-934= -909
274+130)791= ERROR
129+523+755= 1407
13(820+445= ERROR
138(436)599= ERROR
143(878)832= ERROR
855)572*741= ERROR
52(338*735= ERROR
241(329(388= ERROR
518*888-832= 459152
209*480(353= ERROR
371)346+897= ERROR
197(191*890= ERROR
865)430-954= ERROR
678+127+592= 1397
560(203(935= ERROR
872-119(515= ERROR
439(62)48= ERROR
190*314)894= ERROR
934)267-816= ERROR
93(565-550= ERROR
41-972(807= ERROR
607+241-174= 674
377-663)24= ERROR
364*657*155= 37067940
963-910)7= ERROR
672*613(477= ERROR
123+70(200= ERROR
138(300)728= ERROR
440(315+967= ERROR
244)842*689= ERROR
203(874(412= ERROR
544-148*451= -66204
987-105+56= 938
239+677+392= 1308
489-640*397= -253591
474*303)104= ERROR
271-411)185= ERROR
25*817*140= 2859500
175(903-302= ERROR
830(628*582= ERROR
850-523)970= ERROR
623*517-954= 321137
473*151*896= 63995008
542+173+224= 939
41(554(312= ERROR
839)460+519= ERROR
16)153(683= ERROR
144)213)728= ERROR
28)419+828= ERROR
3(470+749= ERROR
239+955+291= 1485
844-562(864= ERROR
371(6)742= ERROR
289*735+721= 213136
204)575)402= ERROR
6(669*748= ERROR
397(646*814= ERROR
42(610*339= ERROR
281*293*195= 16054935
49(838(391= ERROR
458(55-240= ERROR
790(423(246= ERROR
732+505-433= 804
295*526(249= ERROR
527(619-150= ERROR
494(647+875= ERROR
231)238+907= ERROR
271*746*333= 67321278
191*655-345= 124760
851+714+180= 1745
125(196)862= ERROR
476-904)488= ERROR
847)556(976= ERROR
761*625-238= 475387
911-516*448= -230257
877*663-398= 581053
240-477(871= ERROR
981)474-663= ERROR
604-995)615= ERROR
212-107)324= ERROR
599+218+842= 1659
801+112(3= ERROR
272)914-735= ERROR
83(247*580= ERROR
376+738+407= 1521
395)662+293= ERROR
716+103*381= 39959
111-189-266= -344
786)54*32= ERROR
233(254)57= ERROR
37*168+624= 6840
112-3*316= -836
640-643*845= -542695
38(137(432= ERROR
595)774)67= ERROR
265-901-982= -1618
953+935*622= 582523
184-766)733= ERROR
462+623-823= 262
422-482)404= ERROR
438*607*628= 166963848
121(912*30= ERROR
194-517*2= -840
552*724(495= ERROR
200*819(163= ERROR
506*177(696= ERROR
159-607*716= -434453
689)256+133= ERROR
353)432*924= ERROR
226)920)616= ERROR
736-253-264= 219
144-497(510= ERROR
858+139(643= ERROR
496*358)467= ERROR
265*227(199= ERROR
898-75+588= 1411
985*657+889= 648034
243(836-754= ERROR
830+790)339= ERROR
164)685-128= ERROR
493(667-2= ERROR
557+755+543= 1855
121+40(215= ERROR
626*990*387= 239839380
654(738(523= ERROR
139)789*956= ERROR
725(376)175= ERROR
881(786*403= ERROR
655*384)704= ERROR
258*801(740= ERROR
753*620-957= 465903
19(830*989= ERROR
996+962-298= 1660
394-35*877= -30301
509*387*353= 69534999
12*170*274= 558960
931+345)168= ERROR
475+814(190= ERROR
72+46)136= ERROR
840+324*423= 137892
50*654+520= 33220
761*396*345= 103967820
241+904-290= 855
854*992)864= ERROR
978*208)269= ERROR
353)651)320= ERROR
256(248(737= ERROR
458(267+727= ERROR
536(113*55= ERROR
139+833)548= ERROR
306*759(437= ERROR
167*963*19= 3055599
288(703+609= ERROR
19)559(59= ERROR
379+716(98= ERROR
283(663(682= ERROR
454+325-963= -184
938)753)699= ERROR
25*514)687= ERROR
692(523-686= ERROR
423+84+219= 726
597*302)773= ERROR
554)443*274= ERROR
343)272-809= ERROR
534-765+17= -214
883+562-464= 981
499(675(351= ERROR
644-278-828= -462
646)54*649= ERROR
74(485-109= ERROR
216-507*271= -137181
446*6(259= ERROR
349+645+289= 1283
561(590-785= ERROR
426+814-345= 895
234-471(837= ERROR
474+934+726= 2134
745-15+51= 781
297-331-875= -909
472+999+838= 2309
815-794*721= -571659
405-701-772= -1068
126*745-147= 93723
719(900(172= ERROR
446-923)157= ERROR
220*532*25= 2926000
551(97(348= ERROR
711)596(128= ERROR
341*484-295= 164749
70*127*118= 1049020
989-51(212= ERROR
643+346*66= 23479
687-663+299= 323
977-239(978= ERROR
89(727+149= ERROR
232-919(451= ERROR
14)76)749= ERROR
978+775-449= 1304
957+232(959= ERROR
515)203*960= ERROR
726+849(604= ERROR
897+57-932= 22
115(229+157= ERROR
361+455-470= 346
916)658-29= ERROR
214(795*350= ERROR
991)378(758= ERROR
321+3-170= 154
58)162+830= ERROR
133+869)613= ERROR
936(335)486= ERROR
435+852+595= 1882
249-127*523= -66172
348*506*286= 50361168
816*839-526= 684098
664+907-986= 585
703*71(392= ERROR
185*810*332= 49750200
883-628(292= ERROR
3)232*187= ERROR
394+683*325= 222369
574*308-257= 176535
288(996+699= ERROR
646+216*373= 81214
830)439)369= ERROR
138(614)994= ERROR
732-14-692= 26
875(524*91= ERROR
761-620+155= 296
244+403(419= ERROR
179(925*148= ERROR
304)750+836= ERROR
413(494+575= ERROR
305(312)359= ERROR
557*48*111= 2967696
791+754-416= 1129
501)222*479= ERROR
582-101+652= 1133
682-308-906= -532
507-450(445= ERROR
102+586(172= ERROR
329)655)155= ERROR
899(675*647= ERROR
950(259*243= ERROR
254(530+822= ERROR
722(798-60= ERROR
397)146*618= ERROR
513)808)216= ERROR
568)50*319= ERROR
436(938-286= ERROR
848-814+499= 533
922-417*677= -281387
393*562)117= ERROR
571-399*649= -258380
202*681)74= ERROR
671(57-211= ERROR
804+2+176= 982
920*461-614= 423506
623-328)950= ERROR
919-326+47= 640
9(975*723= ERROR
433)854(41= ERROR
302(188+532= ERROR
786)858(52= ERROR
398-301*866= -260268
889-300)546= ERROR
377(381(540= ERROR
671(2*167= ERROR
232*946)458= ERROR
688)800-541= ERROR
718(103-742= ERROR
152+421)726= ERROR
354*46)804= ERROR
493+413-317= 589
530)550)632= ERROR
948)492+181= ERROR
14)391)576= ERROR
63+308)352= ERROR
793)520(105= ERROR
169+984*321= 316033
739-652+761= 848
804+946+744= 2494
877+219*856= 188341
933)894+835= ERROR
402)871-616= ERROR
136)844*655= ERROR
283*247*296= 20690696
84*628-945= 51807
416*268-258= 111230
115*405+683= 47258
689(70-128= ERROR
50)327+156= ERROR
531-944*608= -573421
880(992*482= ERROR
505*390(995= ERROR
559(897-281= ERROR
55*198*34= 370260
279+836+454= 1569
648*631-186= 408702
695*411)604= ERROR
316)543)258= ERROR
852(419(796= ERROR
17(345(830= ERROR
314-654)163= ERROR
523*165)187= ERROR
603+683*189= 129690
984-280(50= ERROR
721)761)51= ERROR
776+984)243= ERROR
750+400*547= 219550
295(26-887= ERROR
61(488-332= ERROR
405(805+335= ERROR
978-94*183= -16224
879-235*716= -167381
479*511*708= 173296452
536(86+67= ERROR
136-716(376= ERROR
463-478)654= ERROR
910(640(106= ERROR
659)483*219= ERROR
947+610*842= 514567
51-294*839= -246615
48)926*332= ERROR
379)864)929= ERROR
910(790+17= ERROR
213-987)949= ERROR
916)726*605= ERROR
337+826-206= 957
444*866*469= 180332376
206*182(997= ERROR
907)990+862= ERROR
56*191(772= ERROR
489+361-650= 200
578+824*902= 743826
601*357-945= 213612
990+696(947= ERROR
682+215*864= 186442
561*333(704= ERROR
627)596+442= ERROR
773(82-192= ERROR
990)988-989= ERROR
461+421)657= ERROR
734)26)382= ERROR
547+585-853= 279
432+403)569= ERROR
849(530+244= ERROR
228*33)497= ERROR
387)299*746= ERROR
589)432)491= ERROR
602(28)391= ERROR
685+799(568= ERROR
209*67+790= 14793
118+483)997= ERROR
612(648)308= ERROR
281-31(598= ERROR
601-888-706= -993
411+43(65= ERROR
643(912)10= ERROR
560)6-912= ERROR
953*809+485= 771462
641+579+722= 1942
522*272)315= ERROR
805*257)142= ERROR
769-256)733= ERROR
591+170)665= ERROR
340)3+857= ERROR
657(841)422= ERROR
749(799-121= ERROR
905(314(666= ERROR
608+160+500= 1268
318)496*529= ERROR
996+521*427= 223463
540-314)232= ERROR
408*341(775= ERROR
603(854-257= ERROR
959)843-792= ERROR
181)822+559= ERROR
913+583-655= 841
419(420)8= ERROR
613*798-496= 488678
688(975(916= ERROR
150(407-499= ERROR
150(147*593= ERROR
770)966*484= ERROR
201-858(502= ERROR
728(502-290= ERROR
890(584(378= ERROR
393*408*368= 59006592
665+166-839= -8
599)509)489= ERROR
605-86)335= ERROR
860+810-863= 807
646+365*944= 345206
212-98(252= ERROR
983-219-76= 688
422(29*902= ERROR
223*414+818= 93140
338+247*462= 114452
91+311-130= 272
701-941+800= 560
779(386-209= ERROR
884-485)796= ERROR
409+378)16= ERROR
475-73(577= ERROR
113-32*143= -4463
242)186)473= ERROR
434*509*584= 129009104
998+767)676= ERROR
933(786*925= ERROR
300(22-243= ERROR
808-507(353= ERROR
165)74+569= ERROR
912+21(832= ERROR
414(464(573= ERROR
81*644)986= ERROR
743+459+314= 1516
399)616-187= ERROR
338+386+187= 911
379)460+845= ERROR
106-905(444= ERROR
545*645-247= 351278
405(872*61= ERROR
285(581(156= ERROR
444+557(260= ERROR
22+88*162= 14278
995(372)458= ERROR
823(471(249= ERROR
873+916)858= ERROR
433-524*51= -26291
555(521-437= ERROR
949)678*821= ERROR
887-54)753= ERROR
95)646*3= ERROR
671+647+948= 2266
459(231)504= ERROR
725-920*267= -244915
616+206*128= 26984
565(249+247= ERROR
574-9-854= -289
444+874(784= ERROR
837-637(21= ERROR
195(638-900= ERROR
434(291*92= ERROR
640+889)623= ERROR
387)45+812= ERROR
160+286(766= ERROR
824(539*339= ERROR
978(584*383= ERROR
607*224+55= 136023
85+600(26= ERROR
301)493*458= ERROR
412(128)523= ERROR
93)451(61= ERROR
737(119+607= ERROR
621)648(238= ERROR
788(562*531= ERROR
605+451)337= ERROR
252+157(591= ERROR
560(673(931= ERROR
574+228(991= ERROR
989-96-309= 584
213-480(535= ERROR
140(471*825= ERROR
723-293)29= ERROR
708-265-962= -519
46-647-367= -968
147(283)629= ERROR
833+233(313= ERROR
153*405(46= ERROR
196)152+718= ERROR
397+681(106= ERROR
555(608-20= ERROR
59-85-774= -800
467-871)542= ERROR
111(326-308= ERROR
77+169-91= 155
369-257)313= ERROR
89*654+125= 58331
116*546-481= 62855
908-352-427= 129
20-345)224= ERROR
532+434+285= 1251
830(429(250= ERROR
868+277+364= 1509
773-933+842= 682
775*65(539= ERROR
66-435+629= 260
143-246+874= 771
321(391)428= ERROR
752*954+854= 718262
407*923+492= 376153
727(313*571= ERROR
509(726-138= ERROR
37(563*232= ERROR
354-159-99= 96
947-892+507= 562
267)738(547= ERROR
225-458)808= ERROR
577+600*16= 10177
94-643+140= -409
330)370*677= ERROR
227(367*458= ERROR
894(951*259= ERROR
709+574*494= 284265
171*573-257= 97726
856-603)476= ERROR
931(505-427= ERROR
917)175)90= ERROR
143*502*29= 2081794
34(440)176= ERROR
492*170-397= 83243
945+69)683= ERROR
42+849-624= 267
627)80(795= ERROR
473-501-709= -737
807-445)701= ERROR
608+492*695= 342548
806(160(636= ERROR
824-113(797= ERROR
774+582+536= 1892
260*558*389= 56436120
514(676)910= ERROR
736-522+81= 295
821-256+6= 571
941-11+998= 1928
58+928+942= 1928
336(589)499= ERROR
292+730-970= 52
267-962(422= ERROR
829+930*751= 699259
4)802)683= ERROR
36-107)994= ERROR
57(138(341= ERROR
144+434*516= 224088
565)644(400= ERROR
706*766+673= 541469
125(289+391= ERROR
772-934-717= -879
418(382(889= ERROR
823*677(270= ERROR
312(767+659= ERROR
513(488)62= ERROR
37*377+969= 14918
613*85-493= 51612
6(792*419= ERROR
36+667(323= ERROR
423+215*544= 117383
874)621+941= ERROR
56(57(338= ERROR
474(118(997= ERROR
841(471(463= ERROR
973-896-716= -639
639(57*603= ERROR
878)974)414= ERROR
421+960(374= ERROR
46*235*589= 6367090
322-939-477= -1094
815*735(787= ERROR
489*441)398= ERROR
830*862-285= 715175
882(574(781= ERROR
9*38-829= -487
363*478)633= ERROR
866-394+102= 574
42)197)978= ERROR
638-326*434= -140846
168*81-660= 12948
108+999(713= ERROR
389(525*275= ERROR
506+79+541= 1126
219(863(505= ERROR
102)282-48= ERROR
669-515(329= ERROR
937-178-530= 229
41+599-641= -1
755-252*224= -55693
257-516*563= -290251
821)373*586= ERROR
687)353*114= ERROR
25)400)797= ERROR
2*920*494= 908960
870)192-184= ERROR
268-342-520= -594
868+76-162= 782
213*496-578= 105070
224*555*153= 19020960
461-72*763= -54475
638(944+432= ERROR
501-892+313= -78
620(57+359= ERROR
462)270+694= ERROR
958*851-642= 814616
952)59(635= ERROR
484+498)281= ERROR
765)595-603= ERROR
300)262)880= ERROR
578-91)413= ERROR
593(502*151= ERROR
857+461+219= 1537
506)358)551= ERROR
342+262)471= ERROR
918(471+800= ERROR
379-194)792= ERROR
78)386)345= ERROR
177-223(992= ERROR
788)101*366= ERROR
315)858+844= ERROR
887)247-139= ERROR
192(1+905= ERROR
154-518(140= ERROR
821-794)39= ERROR
357*61)166= ERROR
997+438+179= 1614
834*363+75= 302817
288-853-246= -811
941*727*73= 49939811
427+984*181= 178531
92(109*427= ERROR
692+366-870= 188
468(569*753= ERROR
207)406)913= ERROR
694(320)572= ERROR
887)421*677= ERROR
849+651+209= 1709
569)168)852= ERROR
312(656*32= ERROR
389-859+407= -63
676*356+742= 241398
24*377)376= ERROR
801)649-489= ERROR
168+479)752= ERROR
306(2-785= ERROR
280(639*793= ERROR
142-772)70= ERROR
863)923)634= ERROR
299(209*474= ERROR
912)943(725= ERROR
870+912+342= 2124
71)316)132= ERROR
262(813(355= ERROR
901+499(796= ERROR
684+716*313= 224792
645)334+911= ERROR
899)576-681= ERROR
731+655)369= ERROR
670*56(921= ERROR
478*524-831= 249641
399)666-336= ERROR
555(520+292= ERROR
838-557*554= -307740
870+651(742= ERROR
11*336-392= 3304
903(681)16= ERROR
234+284+859= 1377
576+149-14= 711
521*456*990= 235200240
714)206-236= ERROR
98*366*388= 13916784
967(170(623= ERROR
851)281-906= ERROR
14+361+212= 587
256)129-769= ERROR
982+378-530= 830
668-995)117= ERROR
233*605+497= 141462
817(345*751= ERROR
909*730*382= 253483740
569*864*994= 488666304
822-273*946= -257436
212-818)753= ERROR
957(617)946= ERROR
717-346)766= ERROR
412+402-91= 723
543)360-355= ERROR
510)675(498= ERROR
617-954*54= -50899
696(81*811= ERROR
692*884*328= 200646784
487+948-723= 712
360(20-170= ERROR
711-424(789= ERROR
828+645)218= ERROR
326(587+3= ERROR
287+675-281= 681
720+497)55= ERROR
255(579)105= ERROR
506-894(231= ERROR
829+698+617= 2144
872-764)829= ERROR
256*894*712= 162951168
24(634+936= ERROR
194-598(873= ERROR
830*182(510= ERROR
187(724)360= ERROR
274)954+491= ERROR
345-810*236= -190815
442*849)336= ERROR
381-857(423= ERROR
316*766-543= 241513
61)387*941= ERROR
539*384(847= ERROR
23)10+235= ERROR
555-21+156= 690
775(855-67= ERROR
473-848-1= -376
559*605)470= ERROR
694)442+447= ERROR
980)113+691= ERROR
664-349)500= ERROR
167(588+635= ERROR
384(913*358= ERROR
273(472*812= ERROR
10*108-476= 604
567(333(999= ERROR
436)242)467= ERROR
191+927+143= 1261
35-397)795= ERROR
263+635)862= ERROR
307)719-330= ERROR
318(168(958= ERROR
31(337)827= ERROR
356-585-538= -767
968(613*737= ERROR
829)998*271= ERROR
856*93+223= 79831
230*573+13= 131803
775*839)778= ERROR
428)286-646= ERROR
539+971+592= 2102
499)260+44= ERROR
716(348+202= ERROR
278-734-431= -887
297(191-461= ERROR
449*958(81= ERROR
997-427+440= 1010
241(420(127= ERROR
140(615-435= ERROR
959-425-32= 502
524-979)623= ERROR
979*687-794= 671779
738(918-764= ERROR
993*745+740= 740525
168)61)995= ERROR
653-953+848= 548
410)259+861= ERROR
215*477-975= 101580
698+386*520= 201418
92+602-919= -225
698-625*170= -105552
378-610+650= 418
211-456+590= 345
48-257-188= -397
164+696+294= 1154
674(482+520= ERROR
337-391)380= ERROR
863-865-7= -9
535*519+229= 277894
259+495(98= ERROR
574-962)632= ERROR
395(47+351= ERROR
68(372+608= ERROR
221+327(324= ERROR
456(561*671= ERROR
562(386)933= ERROR
354+973+271= 1598
456-279+854= 1031
36+606(889= ERROR
750-379)730= ERROR
655(707-834= ERROR
855)180+678= ERROR
448+122)711= ERROR
793*348*553= 152608092
629+160*367= 59349
460+927(233= ERROR
857)800-697= ERROR
946+462-939= 469
621(199*232= ERROR
531)549*279= ERROR
693*772*791= 423181836
471*302-960= 141282
618*403+208= 249262
362)67)536= ERROR
397(477(270= ERROR
409)732-256= ERROR
213*542-265= 115181
208(546+195= ERROR
261)951-910= ERROR
190+792+302= 1284
53)526(271= ERROR
757*35(171= ERROR
827(391*668= ERROR
314-966(834= ERROR
698(105*247= ERROR
435)810*352= ERROR
895)754)732= ERROR
505-926*792= -732887
376(597(826= ERROR
197+631(466= ERROR
784+556(939= ERROR
85(524+485= ERROR
32-682-177= -827
772+730)508= ERROR
766-641(354= ERROR
490-841*622= -522612
263*878+122= 231036
942-785+385= 542
164(169+367= ERROR
870+919(504= ERROR
352(592-379= ERROR
845*643*830= 450968050
104+795*146= 116174
185*938+885= 174415
878(817+239= ERROR
933-835(775= ERROR
538(475(10= ERROR
341+105+927= 1373
799-492+223= 530
939*201+30= 188769
849(935)18= ERROR
100+318-240= 178
222+331+679= 1232
745-371(790= ERROR
996)590(111= ERROR
798-997-145= -344
796(89-619= ERROR
135+47+455= 637
400+425-742= 83
898)492*352= ERROR
618)300-633= ERROR
614(307)255= ERROR
18-240-604= -826
534-279*21= -5325
572(856+646= ERROR
181-144(483= ERROR
17(738)377= ERROR
602+70(137= ERROR
110*472(799= ERROR
387+585*168= 98667
577(344*334= ERROR
647)992-169= ERROR
73-279*745= -207782
761-155+415= 1021
110+377)57= ERROR
693*129+759= 90156
607+909+884= 2400
123+90+353= 566
789(12)475= ERROR
819*801*570= 373930830
325+665)676= ERROR
172(449-406= ERROR
115)884(986= ERROR
168*415-1= 69719
218)608(992= ERROR
867+2*195= 1257
709-300(812= ERROR
520(553)611= ERROR
864*804(323= ERROR
521-600(152= ERROR
705-248(162= ERROR
496)461(912= ERROR
411+969(717= ERROR
292(375)737= ERROR
961(42-30= ERROR
508+11(245= ERROR
598(539)837= ERROR
627)558)537= ERROR
298)12(442= ERROR
844)527+250= ERROR
646*913+386= 590184
725-114-463= 148
242)286*677= ERROR
778+462-241= 999
694-162(833= ERROR
370*365-522= 134528
860(993)7= ERROR
47)805*764= ERROR
217*918*497= 99005382
325(623*312= ERROR
787+163*205= 34202
588+839(186= ERROR
471+2(50= ERROR
453*381)685= ERROR
236(94-435= ERROR
378-681-642= -945
230-655*40= -25970
138+627)492= ERROR
788(691)581= ERROR
779(563)738= ERROR
115-951)546= ERROR
684)684(980= ERROR
422+846)405= ERROR
380-327*37= -11719
716+447(152= ERROR
335*961)415= ERROR
18-142)391= ERROR
740*827)332= ERROR
941+571(465= ERROR
279(365-852= ERROR
982(456*166= ERROR
79+150-910= -681
757(765+91= ERROR
764(457)272= ERROR
536-149+562= 949
908+65(683= ERROR
306)271+717= ERROR
83)37-393= ERROR
79(2(211= ERROR
122-283+297= 136
441*928-363= 408885
222)42*992= ERROR
166+810)648= ERROR
353*824)452= ERROR
557-206)835= ERROR
607-311(174= ERROR
509(446)362= ERROR
901-450+390= 841
827)940+456= ERROR
294+63-404= -47
311+543)205= ERROR
535*12)445= ERROR
91*971-529= 87832
820-438*392= -170876
716(892*941= ERROR
455*596(786= ERROR
599-990*408= -403321
519*344+567= 179103
450-756)900= ERROR
922)141*949= ERROR
494-34(517= ERROR
895(211*542= ERROR
568-982(808= ERROR
402+227+242= 871
269+254)415= ERROR
107-107*303= -32314
350*887)527= ERROR
773-41+481= 1213
570)549(205= ERROR
170(795*610= ERROR
313*102)208= ERROR
51(392+326= ERROR
470*32)450= ERROR
218(285+428= ERROR
699(931(264= ERROR
874-152-588= 134
645*975)228= ERROR
347)198+198= ERROR
464)273-846= ERROR
746(545-562= ERROR
377-66-378= -67
673)670(829= ERROR
742(423*584= ERROR
210+599(342= ERROR
83)724+196= ERROR
449*474*365= 77681490
4)462*907= ERROR
69+546-342= 273
297*710+705= 211575
606*774(613= ERROR
113(299)966= ERROR
496(511-654= ERROR
362(361+321= ERROR
558(562)2= ERROR
526-312-529= -315
635+253)589= ERROR
185*670-477= 123473
269)63)12= ERROR
220-918+488= -210
944(611)335= ERROR
864+606)488= ERROR
423+731(23= ERROR
230-574-664= -1008
951+17*331= 6578
670-71-30= 569
13(795+751= ERROR
729(652+879= ERROR
379(731)913= ERROR
451+690(169= ERROR
463(734*803= ERROR
395(339*186= ERROR
791)801(353= ERROR
95(703(328= ERROR
614*757*467= 217060666
344*449+745= 155201
107+915+603= 1625
951-236)270= ERROR
803(20+436= ERROR
287*572-961= 163203
256+287)397= ERROR
773-494-593= -314
173(64)422= ERROR
418-16(306= ERROR
670(602-327= ERROR
70+608(265= ERROR
708(367)625= ERROR
140*436)774= ERROR
486*89(420= ERROR
22)790+634= ERROR
842)236*788= ERROR
988(356-66= ERROR
288-613(53= ERROR
36*738)687= ERROR
64(393(818= ERROR
252(252+467= ERROR
669)440*447= ERROR
700)501(199= ERROR
295+970+589= 1854
695)84(741= ERROR
732(410)6= ERROR
934)35(618= ERROR
584+882+857= 2323
575*401*603= 139036725
318+231(792= ERROR
184+710(195= ERROR
487+739+193= 1419
847-311)699= ERROR
44(325*810= ERROR
643*34+203= 22065
356)692)204= ERROR
496)141(942= ERROR
172)99(204= ERROR
686-241-801= -356
583-857(932= ERROR
996+367-191= 1172
126(801+146= ERROR
331+831(307= ERROR
520(170-526= ERROR
739-467-547= -275
403-950-916= -1463
558-246-217= 95
272+448)320= ERROR
622(259+585= ERROR
338*167+99= 56545
829+898(460= ERROR
171)983)769= ERROR
636*437+898= 278830
968(100-949= ERROR
902-476*359= -169982
564(92)811= ERROR
6-995+679= -310
796*169(99= ERROR
24(630(529= ERROR
425*783+809= 333584
155+805-668= 292
687*807+520= 554929
510+707(979= ERROR
931*81(937= ERROR
392+453+891= 1736
486+186)178= ERROR
173-921-524= -1272
800-247)560= ERROR
642*780)953= ERROR
7*543+14= 3815
847-927(702= ERROR
635*597-483= 378612
720+368)10= ERROR
323(100)998= ERROR
